history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
SNDX;MICEXINDEXCF;1997-11-04;Индекс МосБиржи (архив);Индекс МосБиржи (архив);89.34;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-11-05;Индекс МосБиржи (архив);Индекс МосБиржи (архив);88.85;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-11-06;Индекс МосБиржи (архив);Индекс МосБиржи (архив);88.6;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-11-10;Индекс МосБиржи (архив);Индекс МосБиржи (архив);81.77;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-11-11;Индекс МосБиржи (архив);Индекс МосБиржи (архив);77.2;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-11-12;Индекс МосБиржи (архив);Индекс МосБиржи (архив);71.19;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-11-13;Индекс МосБиржи (архив);Индекс МосБиржи (архив);68.23;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-11-14;Индекс МосБиржи (архив);Индекс МосБиржи (архив);67.42;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-11-17;Индекс МосБиржи (архив);Индекс МосБиржи (архив);68.06;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-11-18;Индекс МосБиржи (архив);Индекс МосБиржи (архив);72.18;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-11-19;Индекс МосБиржи (архив);Индекс МосБиржи (архив);70.51;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-11-20;Индекс МосБиржи (архив);Индекс МосБиржи (архив);72.58;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-11-21;Индекс МосБиржи (архив);Индекс МосБиржи (архив);77.52;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-11-24;Индекс МосБиржи (архив);Индекс МосБиржи (архив);74.01;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-11-25;Индекс МосБиржи (архив);Индекс МосБиржи (архив);69.49;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-11-26;Индекс МосБиржи (архив);Индекс МосБиржи (архив);72.65;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-11-27;Индекс МосБиржи (архив);Индекс МосБиржи (архив);70.2;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-11-28;Индекс МосБиржи (архив);Индекс МосБиржи (архив);67.94;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-12-01;Индекс МосБиржи (архив);Индекс МосБиржи (архив);66.66;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-12-02;Индекс МосБиржи (архив);Индекс МосБиржи (архив);66.7;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-12-03;Индекс МосБиржи (архив);Индекс МосБиржи (архив);70.05;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-12-04;Индекс МосБиржи (архив);Индекс МосБиржи (архив);74.84;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-12-05;Индекс МосБиржи (архив);Индекс МосБиржи (архив);79.16;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-12-08;Индекс МосБиржи (архив);Индекс МосБиржи (архив);80.27;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-12-09;Индекс МосБиржи (архив);Индекс МосБиржи (архив);80.89;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-12-10;Индекс МосБиржи (архив);Индекс МосБиржи (архив);76.88;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-12-11;Индекс МосБиржи (архив);Индекс МосБиржи (архив);71.06;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-12-15;Индекс МосБиржи (архив);Индекс МосБиржи (архив);76.13;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-12-16;Индекс МосБиржи (архив);Индекс МосБиржи (архив);79.05;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-12-17;Индекс МосБиржи (архив);Индекс МосБиржи (архив);81.59;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-12-18;Индекс МосБиржи (архив);Индекс МосБиржи (архив);80.16;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-12-19;Индекс МосБиржи (архив);Индекс МосБиржи (архив);76.39;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-12-22;Индекс МосБиржи (архив);Индекс МосБиржи (архив);76.75;;;;;;;2;;RUB;
